,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),European political group,Member State
Ingeborg GRÄSSLE,10049,9970.0,0.9921385212458951,0.9665638371977311,10.0,0.0010030090270812437,11.0,0.0011033099297893681,EPP,Germany
Afzal KHAN,5412,4989.0,0.9218403547671841,0.9118625277161863,5.0,0.0010022048506714773,9.0,0.0018039687312086591,S&D,United Kingdom
Josef WEIDENHOLZER,10049,9991.0,0.9942282814210369,0.9193949646731018,10.0,0.0010009008107296567,10.0,0.0010009008107296567,S&D,Austria
Françoise GROSSETÊTE,10049,10049.0,1.0,0.9992039008856602,10.0,0.0009951238929246692,10.0,0.0009951238929246692,EPP,France
Janusz KORWIN-MIKKE,6673,6043.0,0.905589689794695,0.881162895249513,6.0,0.0009928843289756743,17.0,0.0028131722654310774,NI,Poland
Elsi KATAINEN  This person became MEP later than the general start of the term.,3499,3084.0,0.8813946841954844,0.8573878250928837,3.0,0.0009727626459143969,3.0,0.0009727626459143969,ALDE/ADLE,Finland
Giovanni LA VIA,10049,9262.0,0.9216837496268285,0.890436859388994,9.0,0.0009717123731375512,10.0,0.0010796804145972792,EPP,Italy
Ulla TØRNÆS,2748,2066.0,0.7518195050946143,0.7318049490538574,2.0,0.000968054211035818,3.0,0.001452081316553727,ALDE/ADLE,Denmark
Theresa GRIFFIN,10049,9297.0,0.9251666832520649,0.8950144292964474,9.0,0.000968054211035818,9.0,0.000968054211035818,S&D,United Kingdom
Krisztina MORVAI,10049,5183.0,0.515772713702856,0.4658174942780376,5.0,0.0009646922631680494,6.0,0.0011576307158016593,NI,Hungary
Gérard DEPREZ,10049,9340.0,0.9294457159916409,0.9186983779480545,9.0,0.0009635974304068523,9.0,0.0009635974304068523,ALDE/ADLE,Belgium
Anthea McINTYRE,10049,9407.0,0.9361130460742363,0.8777987859488506,9.0,0.0009567343467630488,9.0,0.0009567343467630488,ECR,United Kingdom
Axel VOSS,10049,9502.0,0.9455667230570206,0.9056622549507414,9.0,0.0009471690170490423,9.0,0.0009471690170490423,EPP,Germany
Asim ADEMOV  This person became MEP later than the general start of the term.,4385,4230.0,0.9646522234891676,0.9290763968072976,4.0,0.0009456264775413711,4.0,0.0009456264775413711,EPP,Bulgaria
Jerzy BUZEK,10049,9553.0,0.9506418549109364,0.903871031943477,9.0,0.0009421124254160996,10.0,0.0010467915837956664,EPP,Poland
Kathleen VAN BREMPT,10049,9576.0,0.9529306398646632,0.916011543437158,9.0,0.0009398496240601503,10.0,0.0010442773600668337,S&D,Belgium
Emil RADEV,10049,8600.0,0.8558065479152155,0.8188874514877102,8.0,0.0009302325581395349,8.0,0.0009302325581395349,EPP,Bulgaria
Morten MESSERSCHMIDT,10049,7561.0,0.7524131754403424,0.7233555577669419,7.0,0.0009258034651501124,7.0,0.0009258034651501124,ECR,Denmark
Ole CHRISTENSEN,10049,8696.0,0.8653597372872923,0.8233655090058712,8.0,0.0009199632014719411,15.0,0.0017249310027598896,S&D,Denmark
Ska KELLER,10049,9785.0,0.9737287292267888,0.9693501840979202,9.0,0.0009197751660705161,9.0,0.0009197751660705161,Greens/EFA,Germany
Jens GEIER,10049,9788.0,0.9740272663946662,0.9139217832620161,9.0,0.0009194932570494483,9.0,0.0009194932570494483,S&D,Germany
Martina MICHELS,10049,8744.0,0.8701363319733307,0.8304308886456364,8.0,0.0009149130832570906,10.0,0.0011436413540713633,GUE-NGL,Germany
Pavel POC,10049,9869.0,0.9820877699273559,0.9168076425514977,9.0,0.0009119464991387172,11.0,0.0011146012767250988,S&D,Czech Republic
Pascal ARIMONT,10049,9919.0,0.9870633893919794,0.9673599363120708,9.0,0.0009073495312027422,11.0,0.0011089827603589072,EPP,Belgium
Salvatore Domenico POGLIESE,7584,6644.0,0.8760548523206751,0.8516613924050633,6.0,0.0009030704394942806,7.0,0.001053582179409994,EPP,Italy
Lampros FOUNTOULIS,10049,9975.0,0.9926360831923574,0.9562145487113145,9.0,0.0009022556390977444,9.0,0.0009022556390977444,NI,Greece
Markus PIEPER,10049,10010.0,0.9961190168175937,0.9442730619962185,9.0,0.0008991008991008991,9.0,0.0008991008991008991,EPP,Germany
Michaela ŠOJDROVÁ,10049,10014.0,0.9965170663747637,0.9869638770026868,9.0,0.0008987417615338526,13.0,0.0012981825444377871,EPP,Czech Republic
Zbigniew KUŹMIUK,10049,10039.0,0.9990048761070753,0.9574086973828242,9.0,0.0008965036358203008,9.0,0.0008965036358203008,ECR,Poland
Lieve WIERINCK  This person became MEP later than the general start of the term.,6803,6801.0,0.9997060120535058,0.9888284580332206,6.0,0.000882223202470225,6.0,0.000882223202470225,ALDE/ADLE,Belgium
Davor Ivo STIER,4082,3527.0,0.8640372366487016,0.8419892209701126,3.0,0.0008505812305075135,3.0,0.0008505812305075135,EPP,Croatia
Stanisław OŻÓG,10049,9447.0,0.940093541645935,0.9183998407801771,8.0,0.0008468296813803324,8.0,0.0008468296813803324,ECR,Poland
Petras AUŠTREVIČIUS,10049,9576.0,0.9529306398646632,0.8821773310777192,8.0,0.000835421888053467,8.0,0.000835421888053467,ALDE/ADLE,Lithuania
Wolf KLINZ  This person became MEP later than the general start of the term.,3978,3641.0,0.9152840623428858,0.7642031171442936,3.0,0.0008239494644328481,14.0,0.0038450975006866246,ALDE/ADLE,Germany
Reinhard BÜTIKOFER,10049,8499.0,0.8457557965966763,0.7693302816200617,7.0,0.0008236263089775268,7.0,0.0008236263089775268,Greens/EFA,Germany
Charles GOERENS,10049,9717.0,0.966961886754901,0.9183003283908847,8.0,0.0008232993722342287,10.0,0.0010291242152927857,ALDE/ADLE,Luxembourg
Izaskun BILBAO BARANDICA,10049,9773.0,0.9725345805552791,0.9437755000497562,8.0,0.000818581807019339,8.0,0.000818581807019339,ALDE/ADLE,Spain
Martina WERNER,10049,9775.0,0.9727336053338641,0.9138222708727236,8.0,0.0008184143222506394,8.0,0.0008184143222506394,S&D,Germany
Liliana RODRIGUES,10049,9832.0,0.9784058115235347,0.9566125982684844,8.0,0.0008136696501220504,8.0,0.0008136696501220504,S&D,Portugal
Godelieve QUISTHOUDT-ROWOHL,10049,8656.0,0.8613792417155935,0.697581848940193,7.0,0.0008086876155268023,7.0,0.0008086876155268023,EPP,Germany
Carlos ZORRINHO,10049,9969.0,0.9920390088566027,0.9847746044382526,8.0,0.0008024877119069114,8.0,0.0008024877119069114,S&D,Portugal
Beata GOSIEWSKA,10049,10048.0,0.9999004876107075,0.9857697283311773,8.0,0.0007961783439490446,10.0,0.0009952229299363057,ECR,Poland
Martin SCHIRDEWAN  This person became MEP later than the general start of the term.,3978,3788.0,0.9522373051784816,0.9381598793363499,3.0,0.0007919746568109821,3.0,0.0007919746568109821,GUE-NGL,Germany
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,10049,8884.0,0.884068066474276,0.8306299134242213,7.0,0.0007879333633498424,9.0,0.0010130571814497974,EPP,Spain
Jordi SEBASTIÀ,4082,3835.0,0.9394904458598726,0.9287114159725625,3.0,0.0007822685788787483,3.0,0.0007822685788787483,Greens/EFA,Spain
Demetris PAPADAKIS,10049,8972.0,0.8928251567320131,0.7640561249875609,7.0,0.000780205082478823,7.0,0.000780205082478823,S&D,Cyprus
John PROCTER  This person became MEP later than the general start of the term.,5736,5160.0,0.899581589958159,0.7927126917712691,4.0,0.0007751937984496124,4.0,0.0007751937984496124,ECR,United Kingdom
Manfred WEBER,10049,9061.0,0.9016817593790427,0.8494377550004976,7.0,0.0007725416620682044,7.0,0.0007725416620682044,EPP,Germany
Markus FERBER,10049,9141.0,0.90964275052244,0.8317245497064385,7.0,0.0007657805491740509,7.0,0.0007657805491740509,EPP,Germany
Ilhan KYUCHYUK,10049,9246.0,0.920091551398149,0.8987959000895611,7.0,0.0007570841444949167,8.0,0.0008652390222799049,ALDE/ADLE,Bulgaria
Csaba MOLNÁR,10049,9494.0,0.9447706239426809,0.8936212558463529,7.0,0.0007373077733305245,7.0,0.0007373077733305245,S&D,Hungary
Sabine VERHEYEN,10049,9519.0,0.9472584336749925,0.9372076823564534,7.0,0.0007353713625380818,8.0,0.0008404244143292363,EPP,Germany
Herbert REUL,5619,5472.0,0.9738387613454351,0.9585335468944652,4.0,0.0007309941520467836,4.0,0.0007309941520467836,EPP,Germany
Burkhard BALZ,7584,6866.0,0.9053270042194093,0.8330696202531646,5.0,0.0007282260413632391,5.0,0.0007282260413632391,EPP,Germany
Jan OLBRYCHT,10049,9651.0,0.9603940690615982,0.9167081301622052,7.0,0.000725313439021863,7.0,0.000725313439021863,EPP,Poland
Daciana Octavia SÂRBU,10049,8289.0,0.8248581948452582,0.7887351975320928,6.0,0.0007238508867173362,6.0,0.0007238508867173362,S&D,Romania
Arne LIETZ,10049,9679.0,0.9631804159617873,0.9351179221813116,7.0,0.0007232152081826635,11.0,0.0011364810414298998,S&D,Germany
Antonio LÓPEZ-ISTÚRIZ WHITE,10049,9687.0,0.963976515076127,0.9239725345805553,7.0,0.0007226179415711778,8.0,0.0008258490760813461,EPP,Spain
Zdzisław KRASNODĘBSKI,10049,9691.0,0.9643745646332968,0.9127276345905065,7.0,0.0007223196780518006,7.0,0.0007223196780518006,ECR,Poland
Francisco ASSIS,10049,9713.0,0.9665638371977311,0.9082495770723455,7.0,0.0007206836198908679,8.0,0.0008236384227324205,S&D,Portugal
Jan KELLER,10049,9744.0,0.9696487212657976,0.8833714797492288,7.0,0.0007183908045977011,7.0,0.0007183908045977011,S&D,Czech Republic
Olaf STUGER,10049,9803.0,0.9755199522340532,0.911135436361827,7.0,0.0007140671223094971,9.0,0.0009180863001122105,ENF,Netherlands
Kosma ZŁOTOWSKI,10049,9819.0,0.9771121504627326,0.9606926062294756,7.0,0.0007129035543334351,7.0,0.0007129035543334351,ECR,Poland
David CASA,10049,9832.0,0.9784058115235347,0.9391979301423027,7.0,0.0007119609438567941,7.0,0.0007119609438567941,EPP,Malta
Tomáš ZDECHOVSKÝ,10049,9855.0,0.9806945964772614,0.9643745646332968,7.0,0.0007102993404363268,7.0,0.0007102993404363268,EPP,Czech Republic
Marcel de GRAAFF,10049,8520.0,0.847845556771818,0.7904269081500647,6.0,0.0007042253521126761,6.0,0.0007042253521126761,ENF,Netherlands
Sylvia-Yvonne KAUFMANN,10049,9947.0,0.9898497362921683,0.9149169071549408,7.0,0.0007037297677691766,7.0,0.0007037297677691766,S&D,Germany
Dame Glenis WILLMOTT,5747,4277.0,0.7442143727161997,0.6711327649208283,3.0,0.0007014262333411269,3.0,0.0007014262333411269,S&D,United Kingdom
Andreas SCHWAB,10049,9984.0,0.9935316946959897,0.9385013434172554,7.0,0.0007011217948717949,8.0,0.0008012820512820513,EPP,Germany
Nicola DANTI,10049,10030.0,0.9981092646034432,0.9960195044283013,7.0,0.0006979062811565304,7.0,0.0006979062811565304,S&D,Italy
Stanislav POLČÁK,10049,10042.0,0.9993034132749528,0.9597969947258433,7.0,0.0006970722963553077,7.0,0.0006970722963553077,EPP,Czech Republic
Jens GIESEKE,10049,10049.0,1.0,0.9977112150462732,7.0,0.0006965867250472683,8.0,0.0007960991143397353,EPP,Germany
Clare MOODY,10049,9024.0,0.8979998009752214,0.8799880585132849,6.0,0.0006648936170212766,7.0,0.0007757092198581561,S&D,United Kingdom
Morten Helveg PETERSEN,10049,9205.0,0.916011543437158,0.8862573390387103,6.0,0.0006518196632265073,6.0,0.0006518196632265073,ALDE/ADLE,Denmark
David-Maria SASSOLI,10049,9285.0,0.9239725345805553,0.8460543337645536,6.0,0.0006462035541195477,9.0,0.0009693053311793214,S&D,Italy
Jill EVANS,10049,9376.0,0.9330281620061698,0.8703353567519156,6.0,0.0006399317406143345,7.0,0.0007465870307167236,Greens/EFA,United Kingdom
Mercedes BRESSO,10049,9377.0,0.9331276743954622,0.891531495671211,6.0,0.0006398634957875654,8.0,0.0008531513277167537,S&D,Italy
Dobromir SOŚNIERZ  This person became MEP later than the general start of the term.,3134,3134.0,1.0,0.9897894065092534,2.0,0.0006381620931716656,2.0,0.0006381620931716656,NI,Poland
Marek PLURA,10049,9466.0,0.9419842770424918,0.8614787541048861,6.0,0.0006338474540460595,6.0,0.0006338474540460595,EPP,Poland
Maria HEUBUCH,10049,9495.0,0.9448701363319734,0.9086476266295154,6.0,0.000631911532385466,6.0,0.000631911532385466,Greens/EFA,Germany
Angelika MLINAR,10049,9497.0,0.9450691611105583,0.899392974425316,6.0,0.0006317784563546383,8.0,0.0008423712751395178,ALDE/ADLE,Austria
Terry REINTKE,10049,9516.0,0.9469598965071151,0.9291471788237635,6.0,0.0006305170239596469,6.0,0.0006305170239596469,Greens/EFA,Germany
Birgit SIPPEL,10049,9533.0,0.9486516071250871,0.8518260523435167,6.0,0.0006293926361061575,6.0,0.0006293926361061575,S&D,Germany
Janice ATKINSON,10049,7975.0,0.7936113046074236,0.7046472285799582,5.0,0.0006269592476489029,5.0,0.0006269592476489029,ENF,United Kingdom
Miriam DALLI,10049,9662.0,0.9614887053438153,0.9491491690715494,6.0,0.000620989443179466,20.0,0.0020699648105982197,S&D,Malta
Salvatore CICU,10049,9717.0,0.966961886754901,0.9242710717484327,6.0,0.0006174745291756715,8.0,0.0008232993722342287,EPP,Italy
Ivo VAJGL,10049,9739.0,0.9691511593193353,0.9391979301423027,6.0,0.0006160796796385666,7.0,0.0007187596262449944,ALDE/ADLE,Slovenia
Heidi HAUTALA,10049,9755.0,0.9707433575480148,0.8743158523236143,6.0,0.0006150691952844695,6.0,0.0006150691952844695,Greens/EFA,Finland
Michael CRAMER,10049,9756.0,0.9708428699373072,0.9071549407901284,6.0,0.0006150061500615006,6.0,0.0006150061500615006,Greens/EFA,Germany
Giulia MOI,10049,9789.0,0.9741267787839586,0.9312369389989054,6.0,0.0006129328838492185,7.0,0.000715088364490755,EFDD,Italy
Julia PITERA,10049,9793.0,0.9745248283411285,0.9590008956115036,6.0,0.0006126825283365669,6.0,0.0006126825283365669,EPP,Poland
Patricija ŠULIN,10049,9831.0,0.9783062991342422,0.9551199124290974,6.0,0.0006103143118706134,11.0,0.0011189095717627912,EPP,Slovenia
Maria GRAPINI,10049,9866.0,0.9817892327594786,0.9770126380734402,6.0,0.000608149199270221,7.0,0.0007095073991485911,S&D,Romania
Gianluca BUONANNO,3376,3305.0,0.9789691943127962,0.9709715639810427,2.0,0.000605143721633888,4.0,0.001210287443267776,ENF,Italy
Pascal DURAND,10049,9981.0,0.9932331575281123,0.9427803761568315,6.0,0.0006011421701232341,6.0,0.0006011421701232341,Greens/EFA,France
Lidia Joanna GERINGER de OEDENBERG,10049,10049.0,1.0,0.9845755796596676,6.0,0.0005970743357548015,10.0,0.0009951238929246692,S&D,Poland
Renata BRIANO,10049,10049.0,1.0,0.9966165787640561,6.0,0.0005970743357548015,6.0,0.0005970743357548015,S&D,Italy
Adam SZEJNFELD,10049,10049.0,1.0,0.9834809433774505,6.0,0.0005970743357548015,6.0,0.0005970743357548015,EPP,Poland
Georges BACH,10049,10049.0,1.0,0.9809931336451388,6.0,0.0005970743357548015,6.0,0.0005970743357548015,EPP,Luxembourg
Elisa FERREIRA,3516,3351.0,0.9530716723549488,0.9132536973833902,2.0,0.000596836765144733,2.0,0.000596836765144733,S&D,Portugal
Ivari PADAR  This person became MEP later than the general start of the term.,3978,3356.0,0.8436400201106083,0.8137254901960784,2.0,0.0005959475566150178,2.0,0.0005959475566150178,S&D,Estonia
Therese COMODINI CACHIA,5472,5177.0,0.9460891812865497,0.9365862573099415,3.0,0.0005794861889124976,9.0,0.0017384585667374927,EPP,Malta
Jakob von WEIZSÄCKER,8701,8639.0,0.9928743822549132,0.9372485921158488,5.0,0.0005787706910522051,6.0,0.0006945248292626461,S&D,Germany
Guy VERHOFSTADT,10049,8728.0,0.8685441337446512,0.8395860284605433,5.0,0.0005728689275893675,6.0,0.000687442713107241,ALDE/ADLE,Belgium
Gabriele ZIMMER,10049,8815.0,0.8772017116130958,0.8566026470295551,5.0,0.0005672149744753262,5.0,0.0005672149744753262,GUE-NGL,Germany
Jordi SOLÉ  This person became MEP later than the general start of the term.,5357,5305.0,0.9902930744819862,0.9858129550121336,3.0,0.0005655042412818096,3.0,0.0005655042412818096,Greens/EFA,Spain
Czesław Adam SIEKIERSKI,10049,8976.0,0.8932232062891831,0.8552094735794606,5.0,0.0005570409982174688,5.0,0.0005570409982174688,EPP,Poland
Kaja KALLAS,7584,7258.0,0.9570147679324894,0.9313027426160337,4.0,0.0005511160099200882,4.0,0.0005511160099200882,ALDE/ADLE,Estonia
Sergio Gaetano COFFERATI,10049,9119.0,0.9074534779580058,0.8747139018807841,5.0,0.000548305735277991,6.0,0.0006579668823335892,S&D,Italy
Jarosław KALINOWSKI,10049,9226.0,0.9181013036122997,0.8546123992437058,5.0,0.0005419466724474311,5.0,0.0005419466724474311,EPP,Poland
Ian HUDGHTON,10049,9325.0,0.9279530301522539,0.7551995223405314,5.0,0.0005361930294906167,6.0,0.00064343163538874,Greens/EFA,United Kingdom
Kārlis ŠADURSKIS  This person became MEP later than the general start of the term.,1886,1885.0,0.9994697773064687,0.8780487804878049,1.0,0.0005305039787798408,1.0,0.0005305039787798408,EPP,Latvia
Bogusław SONIK  This person became MEP later than the general start of the term.,1886,1886.0,1.0,0.9146341463414634,1.0,0.0005302226935312832,1.0,0.0005302226935312832,EPP,Poland
Joachim SCHUSTER,10049,9464.0,0.9417852522639069,0.8414767638571002,5.0,0.0005283178360101438,5.0,0.0005283178360101438,S&D,Germany
Alessia Maria MOSCA,10049,7580.0,0.7543039108368992,0.655786645437357,4.0,0.0005277044854881266,6.0,0.0007915567282321899,S&D,Italy
Monika BEŇOVÁ,10049,9502.0,0.9455667230570206,0.8669519355159717,5.0,0.0005262050094716902,6.0,0.0006314460113660282,S&D,Slovakia
Klaus BUCHNER,10049,9555.0,0.9508408796895214,0.9345208478455568,5.0,0.0005232862375719519,5.0,0.0005232862375719519,Greens/EFA,Germany
Monika SMOLKOVÁ,10049,9587.0,0.9540252761468803,0.9275549805950841,5.0,0.0005215395848544905,7.0,0.0007301554187962866,S&D,Slovakia
Cornelia ERNST,10049,9599.0,0.9552194248183898,0.8781968355060205,5.0,0.0005208875924575477,6.0,0.0006250651109490572,GUE-NGL,Germany
José BOVÉ,10049,9615.0,0.9568116230470693,0.9218827744054134,5.0,0.0005200208008320333,5.0,0.0005200208008320333,Greens/EFA,France
Jarosław WAŁĘSA,10049,9654.0,0.9606926062294756,0.9144193452084785,5.0,0.0005179200331468821,5.0,0.0005179200331468821,EPP,Poland
Kerstin WESTPHAL,10049,7862.0,0.7823664046173748,0.6505124888048562,4.0,0.0005087763927753752,5.0,0.0006359704909692191,S&D,Germany
Brian HAYES,10049,9846.0,0.9797989849736293,0.9170066673300826,5.0,0.0005078204346942921,5.0,0.0005078204346942921,EPP,Ireland
Enrique CALVET CHAMBON  This person became MEP later than the general start of the term.,9903,9873.0,0.996970614965162,0.939614258305564,5.0,0.0005064316823660489,5.0,0.0005064316823660489,ALDE/ADLE,Spain
Franc BOGOVIČ,10049,9887.0,0.9838789929346203,0.9268583938700368,5.0,0.0005057145746940427,5.0,0.0005057145746940427,EPP,Slovenia
Vicky MAEIJER,5071,3965.0,0.7818970617235259,0.7710510747387103,2.0,0.0005044136191677175,5.0,0.0012610340479192938,ENF,Netherlands
Michel REIMON,10049,9930.0,0.9881580256741964,0.9378047566922082,5.0,0.0005035246727089627,5.0,0.0005035246727089627,Greens/EFA,Austria
Andrejs MAMIKINS,10049,9946.0,0.9897502239028759,0.9638770026868345,5.0,0.0005027146591594611,5.0,0.0005027146591594611,S&D,Latvia
Josu JUARISTI ABAUNZ,6549,6047.0,0.9233470758894488,0.8836463582226294,3.0,0.000496113775425831,4.0,0.000661485033901108,GUE-NGL,Spain
Laima Liucija ANDRIKIENĖ  This person became MEP later than the general start of the term.,6673,6139.0,0.9199760227783605,0.8925520755282481,3.0,0.0004886789379377749,4.0,0.0006515719172503665,EPP,Lithuania
Steven WOOLFE,10049,8219.0,0.8178923275947856,0.742760473678973,4.0,0.000486677211339579,4.0,0.000486677211339579,NI,United Kingdom
Marek Józef GRÓBARCZYK,2132,2074.0,0.9727954971857411,0.8761726078799249,1.0,0.00048216007714561236,1.0,0.00048216007714561236,ECR,Poland
Bill ETHERIDGE,10049,8449.0,0.8407801771320529,0.7488307294258135,4.0,0.0004734288081429755,5.0,0.0005917860101787194,EFDD,United Kingdom
Ivica TOLIĆ  This person became MEP later than the general start of the term.,5967,4387.0,0.7352103234456175,0.6537623596447126,2.0,0.00045589240939138365,3.0,0.0006838386140870754,EPP,Croatia
Iuliu WINKLER,10049,8836.0,0.8792914717882376,0.8104288983978505,4.0,0.0004526935264825713,5.0,0.0005658669081032141,EPP,Romania
Tatjana ŽDANOKA,6673,6646.0,0.9959538438483441,0.9796193616064739,3.0,0.00045139933794763765,3.0,0.00045139933794763765,Greens/EFA,Latvia
Rina Ronja KARI,10049,8872.0,0.8828739178027665,0.8683451089660663,4.0,0.0004508566275924256,4.0,0.0004508566275924256,GUE-NGL,Denmark
Alyn SMITH,10049,8903.0,0.8859588018708329,0.7544034232261917,4.0,0.00044928675727282937,6.0,0.000673930135909244,Greens/EFA,United Kingdom
John HOWARTH  This person became MEP later than the general start of the term.,4577,4576.0,0.9997815162770374,0.9632947345422767,2.0,0.00043706293706293706,2.0,0.00043706293706293706,S&D,United Kingdom
Constanze KREHL,10049,9358.0,0.9312369389989054,0.8524231266792716,4.0,0.00042744176106005556,4.0,0.00042744176106005556,S&D,Germany
Pavel SVOBODA,10049,9391.0,0.9345208478455568,0.8998905363717783,4.0,0.00042593972952827174,5.0,0.0005324246619103397,EPP,Czech Republic
Sven GIEGOLD,10049,9395.0,0.9349188974027266,0.9020798089362125,4.0,0.0004257583821181479,4.0,0.0004257583821181479,Greens/EFA,Germany
Marco AFFRONTE,10049,9414.0,0.9368096327992835,0.8341128470494577,4.0,0.0004248990864669641,4.0,0.0004248990864669641,Greens/EFA,Italy
Benedek JÁVOR,10049,9557.0,0.9510399044681063,0.8943178425714001,4.0,0.00041854138327927174,5.0,0.0005231767290990897,Greens/EFA,Hungary
Jean LAMBERT,10049,9567.0,0.9520350283610309,0.936710120409991,4.0,0.0004181038988188565,4.0,0.0004181038988188565,Greens/EFA,United Kingdom
Josep-Maria TERRICABRAS,10049,9572.0,0.9525325903074933,0.8800875709025774,4.0,0.0004178854993731718,4.0,0.0004178854993731718,Greens/EFA,Spain
Philippe LAMBERTS,10049,9589.0,0.9542243009254652,0.9073539655687133,4.0,0.00041714464490562103,5.0,0.0005214308061320263,Greens/EFA,Belgium
Andrzej GRZYB,10049,9596.0,0.9549208876505125,0.869340232858991,4.0,0.00041684035014589413,6.0,0.0006252605252188412,EPP,Poland
Agnieszka KOZŁOWSKA-RAJEWICZ,10049,9695.0,0.9647726141904667,0.942879888546124,4.0,0.00041258380608561113,4.0,0.00041258380608561113,EPP,Poland
Peter van DALEN,10049,9741.0,0.9693501840979202,0.9174047168872524,4.0,0.0004106354583718304,4.0,0.0004106354583718304,ECR,Netherlands
Michael GAHLER,10049,9811.0,0.9763160513483928,0.9365110956314061,4.0,0.000407705636530425,5.0,0.0005096320456630313,EPP,Germany
Sergei STANISHEV,10049,7372.0,0.7336053338640661,0.6650412976415564,3.0,0.00040694519804666303,3.0,0.00040694519804666303,S&D,Bulgaria
Maria SPYRAKI,10049,7383.0,0.7346999701462832,0.663250074634292,3.0,0.0004063388866314506,4.0,0.0005417851821752675,EPP,Greece
Tunne KELAM,10049,9869.0,0.9820877699273559,0.9653696885262215,4.0,0.0004053095551727632,4.0,0.0004053095551727632,EPP,Estonia
Martin SONNEBORN,10049,7411.0,0.7374863170464723,0.6825554781570305,3.0,0.0004048036702199433,3.0,0.0004048036702199433,NI,Germany
Michela GIUFFRIDA,10049,9909.0,0.9860682654990547,0.9492486814608418,4.0,0.000403673428196589,10.0,0.0010091835704914725,S&D,Italy
Ismail ERTUG,10049,9910.0,0.9861677778883471,0.921783262016121,4.0,0.0004036326942482341,4.0,0.0004036326942482341,S&D,Germany
Mirosław PIOTROWSKI,10049,9994.0,0.9945268185889143,0.9826848442631108,4.0,0.00040024014408645187,4.0,0.00040024014408645187,ECR,Poland
Cristian-Silviu BUŞOI,10049,7609.0,0.7571897701263808,0.6791720569210866,3.0,0.00039426994348797475,3.0,0.00039426994348797475,EPP,Romania
Zigmantas BALČYTIS,10049,8419.0,0.8377948054532789,0.7974922877898298,3.0,0.0003563368571089203,4.0,0.0004751158094785604,S&D,Lithuania
Helga TRÜPEL,10049,8510.0,0.8468504328788934,0.6852423126679271,3.0,0.00035252643948296123,3.0,0.00035252643948296123,Greens/EFA,Germany
István UJHELYI,10049,8619.0,0.8576972833117723,0.7665439347198726,3.0,0.0003480682213713888,7.0,0.0008121591831999072,S&D,Hungary
Paolo DE CASTRO,10049,8719.0,0.867648522241019,0.7975918001791223,3.0,0.0003440761555224223,3.0,0.0003440761555224223,S&D,Italy
Keith TAYLOR,10049,8749.0,0.8706338939197931,0.8419743258035626,3.0,0.0003428963310092582,3.0,0.0003428963310092582,Greens/EFA,United Kingdom
Emilian PAVEL  This person became MEP later than the general start of the term.,9909,8996.0,0.9078615400141286,0.8497325663538198,3.0,0.0003334815473543797,3.0,0.0003334815473543797,S&D,Romania
Cecilia WIKSTRÖM,10049,9022.0,0.8978007761966365,0.8229674594487013,3.0,0.00033252050543116827,3.0,0.00033252050543116827,ALDE/ADLE,Sweden
Rebecca HARMS,10049,9112.0,0.9067568912329586,0.8491392178326201,3.0,0.0003292361720807726,5.0,0.0005487269534679544,Greens/EFA,Germany
Bas BELDER,10049,9133.0,0.9088466514081003,0.9011841974325804,3.0,0.00032847914157451,3.0,0.00032847914157451,ECR,Netherlands
Nils TORVALDS,10049,9159.0,0.9114339735297045,0.8771021992238034,3.0,0.00032754667540124465,3.0,0.00032754667540124465,ALDE/ADLE,Finland
Urmas PAET  This person became MEP later than the general start of the term.,9909,9202.0,0.928650721566253,0.8698153194066001,3.0,0.0003260160834601174,3.0,0.0003260160834601174,ALDE/ADLE,Estonia
Renate SOMMER,10049,9232.0,0.9186983779480545,0.8733207284306896,3.0,0.0003249566724436742,3.0,0.0003249566724436742,EPP,Germany
Christian EHLER,10049,9293.0,0.924768633694895,0.8590904567618669,3.0,0.0003228236306897665,4.0,0.0004304315075863553,EPP,Germany
Victor BOŞTINARU,10049,9303.0,0.9257637575878197,0.9104388496367798,3.0,0.0003224766204450177,3.0,0.0003224766204450177,S&D,Romania
Dieter-Lebrecht KOCH,10049,9342.0,0.9296447407702259,0.8946163797392775,3.0,0.0003211303789338471,4.0,0.00042817383857846286,EPP,Germany
Andi CRISTEA,10049,9402.0,0.935615484127774,0.8671509602945566,3.0,0.0003190810465858328,3.0,0.0003190810465858328,S&D,Romania
Ana MIRANDA  This person became MEP later than the general start of the term.,3500,3138.0,0.8965714285714286,0.786,1.0,0.00031867431485022306,1.0,0.00031867431485022306,Greens/EFA,Spain
Filiz HYUSMENOVA,10049,9434.0,0.9387998805851329,0.9294457159916409,3.0,0.00031799872800508796,4.0,0.00042399830400678397,ALDE/ADLE,Bulgaria
Bernd LANGE,10049,9514.0,0.9467608717285302,0.8802865956811623,3.0,0.0003153247845280639,3.0,0.0003153247845280639,S&D,Germany
Carlos ITURGAIZ  This person became MEP later than the general start of the term.,9909,9521.0,0.9608436774649308,0.9193662327177313,3.0,0.0003150929524209642,3.0,0.0003150929524209642,EPP,Spain
Werner KUHN,10049,9599.0,0.9552194248183898,0.8837695293063986,3.0,0.0003125325554745286,4.0,0.00041671007396603814,EPP,Germany
